general_rank,time,given_name,last_name,nationality,gender,race_name,race_category
1,03:01:56,Abraham,HERNANDEZ,Mexico,Men,Haramara,33K
2,03:26:26,Jhoan Sebastian,RIVERA ALAPE,Colombia,Men,Haramara,33K
3,03:46:08,Francisco Axel,CORONA CARRETERO,Mexico,Men,Haramara,33K
4,03:57:43,Jonatan Uriel,MENDIETA CASTILLO,Mexico,Men,Haramara,33K
5,04:01:50,Ricardo,CHAVARRIA,Mexico,Men,Haramara,33K
8,04:06:18,Luis Arturo,VALENZUELA GRIJALVA,Mexico,Men,Haramara,33K
10,04:06:37,Andres,ORDONEZ,Mexico,Men,Haramara,33K
12,04:12:07,Fernando Daniel,GARCIA RODRIGUEZ,Mexico,Men,Haramara,33K
14,04:18:28,Brad,BUXTON,Canada,Men,Haramara,33K
15,04:26:13,Chip,JACKSON,United States of America,Men,Haramara,33K
